Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2018,8,Montreal Canadiens (MTL),6.675634993,5.590743265,1.597062080,4.858455351,6.279370934,4.659672800,4.233246729,0.520821525
2017,29,Columbus Blue Jackets (CBJ),6.085712566,3.815538407,1.463224399,7.403005280,7.434112297,5.887350630,3.334358817,0.594310633
2006,14,Tampa Bay Lightning (TBL),5.455376578,4.106378962,1.856527311,7.089175570,5.274003670,5.290099734,2.842704990,0.810691047
2018,5,Pittsburgh Penguins (PIT),7.367726977,5.313263520,1.620133115,3.284322553,7.816553941,6.392999714,2.670375289,0.548584241
2011,6,Boston Bruins (BOS),6.572304555,5.050899569,1.728702851,8.280348490,5.842938362,3.806833147,3.785703475,0.608905977
2016,4,Philadelphia Flyers (PHI),6.353502859,5.062623477,1.550707635,8.287207575,7.140980245,4.033642308,2.637539480,0.474079178
2016,24,Anaheim Ducks (ANA),6.226235046,4.327292722,1.570532341,8.678262112,5.963855093,5.365250926,4.317502176,0.488851530
2010,24,Anaheim Ducks (ANA),7.382889088,4.200045787,1.796720659,11.176182321,6.029627705,4.309723651,4.933142754,0.597001052
2009,1,New Jersey Devils (NJD),5.717446037,4.999928876,1.523640172,6.564755675,11.691293523,4.582110057,4.412980336,0.745302978
2016,2,NY Islanders Islanders (NYI),6.006579026,4.199239627,1.840259390,5.498357280,5.714789894,4.482458809,3.536128063,0.546954901
2008,12,Carolina Hurricanes (CAR),7.647253133,5.827216871,1.983036165,6.507099380,8.353848621,5.709562076,4.222953153,0.661012055
2010,10,Toronto Maple Leafs (TOR),5.481281278,6.290582530,1.347543326,8.292806215,6.884765791,5.379782848,3.146678773,0.755928946
2014,29,Columbus Blue Jackets (CBJ),6.662008176,4.597236246,1.539729356,9.767027729,7.776111782,3.747964391,2.671063666,0.563285498
2005,27,Phoenix Coyotes (PHX),7.597943468,5.043936513,2.111596412,6.584855647,6.764797346,7.429016314,4.983508566,0.772328446
2018,3,NY Rangers Rangers (NYR),6.874355007,3.755276568,1.506243263,5.204958366,6.384219471,5.133502981,3.158001421,0.550729792
2005,18,Nashville Predators (NSH),5.308498727,3.294536121,2.421464859,8.533547244,5.532300535,5.267148863,3.388589630,0.632455532
2003,29,Columbus Blue Jackets (CBJ),6.678323143,5.351383147,2.190890230,9.424848953,5.277309921,5.672755832,3.725928030,0.723198364
2010,1,New Jersey Devils (NJD),6.059142944,5.003452262,1.483644567,7.367956758,9.096826493,4.154125270,3.257470048,0.602796287
2009,24,Anaheim Ducks (ANA),5.915395408,3.773978667,1.889669337,9.357785590,6.753316774,4.057448458,3.227747446,0.706629490
2010,26,Los Angeles Kings (LAK),6.540472290,4.855571704,1.299688112,9.476539706,6.692180906,3.905028713,3.344575636,0.602796287
2008,22,Edmonton Oilers (EDM),6.280555561,3.441467344,1.666274464,9.118731299,6.524034427,4.202240299,4.294808279,0.698136776
2006,2,NY Islanders Islanders (NYI),7.530917256,6.207498130,2.442430238,5.515198765,5.032477106,3.731209177,3.349510295,0.833783662
2017,23,Vancouver Canucks (VAN),6.326795404,4.524039851,1.602545209,6.904593710,5.910945039,5.146176338,4.296375147,0.520821525
2018,18,Nashville Predators (NSH),5.324772777,4.759268959,1.324086526,10.453192372,6.034038066,3.994868503,3.529999637,0.630425172
2009,7,Buffalo Sabres (BUF),6.544254003,4.983102351,1.796683104,8.886675950,5.837659857,3.653515860,5.441629906,0.766188315
2003,13,Florida Panthers (FLA),6.084869845,2.864930586,2.135112281,11.286539103,6.333510900,5.307291346,4.285052323,0.601392895
2006,7,Buffalo Sabres (BUF),5.486826328,5.203196851,2.013468166,9.358058424,8.071559399,5.215143722,5.540295939,0.822859739
2013,6,Boston Bruins (BOS),6.276468918,4.730525103,1.570648456,6.324555320,8.209388654,3.586411602,3.877858529,0.633095346
2009,26,Los Angeles Kings (LAK),4.938013200,3.897402159,1.304577739,7.833360611,6.507934014,4.991017573,4.571651780,0.733362470
2006,3,NY Rangers Rangers (NYR),6.122206323,5.173837043,2.385855757,8.315840615,6.023405204,5.073245560,3.764799855,0.667467468
2008,20,Calgary Flames (CGY),6.089804125,5.007534006,2.166666667,9.952745493,7.773122189,3.907156641,3.730079364,0.608797931
2008,21,Colorado Avalanche (COL),7.795145009,4.584307256,1.817027050,8.243708520,5.219849174,5.210718501,4.153789626,0.687761494
2011,9,Ottawa Senators (OTT),6.420151862,3.930404516,1.798727225,7.559766605,5.897235170,2.992166159,2.956416461,0.594546099
2010,4,Philadelphia Flyers (PHI),6.778011614,4.222597581,1.978487911,12.197818936,6.973566565,3.847115842,2.661312192,0.828363559
2014,6,Boston Bruins (BOS),6.639923839,5.018733674,1.390119575,4.660388312,6.921047674,3.599090643,3.608257130,0.639068391
2009,11,Atlanta Thrashers (ATL),7.321699765,4.613978643,1.260315065,9.563834826,7.335510657,5.959150190,3.601619069,0.913979007
2016,13,Florida Panthers (FLA),6.145752214,5.262479805,1.377642152,4.970936553,5.951631870,4.572571313,3.060942562,0.605282055
2015,24,Anaheim Ducks (ANA),6.077648816,6.199349383,1.401080016,5.624376716,7.232629146,4.286582545,3.395003744,0.546954901
2018,12,Carolina Hurricanes (CAR),6.618489984,4.107724396,1.402345120,5.139933747,6.784846306,5.553118637,5.766188788,0.459605867
2011,30,Minnesota Wild (MIN),6.873210723,4.141023656,1.465631919,8.396847699,8.578409093,4.940414184,3.206463824,0.549475274
2016,52,Winnipeg Jets (WPG),6.125524334,4.779639130,1.481992431,8.249013907,5.923648870,3.766287531,3.785970208,0.471069121
2005,3,NY Rangers Rangers (NYR),5.810433168,6.026930117,2.553344503,5.843551875,6.987650568,4.385290097,3.806734568,0.842526885
2010,14,Tampa Bay Lightning (TBL),5.092040479,3.870687156,1.575957340,7.400405587,4.751281926,3.975833827,3.605748532,0.547202897
2008,9,Ottawa Senators (OTT),6.201517841,4.768066042,2.136123875,8.243867086,8.399379729,4.495001893,3.097301618,0.758149006
2011,20,Calgary Flames (CGY),7.272412887,4.387289948,1.502135232,7.470861074,6.793463557,4.191759798,3.346599781,0.818147738
2011,21,Colorado Avalanche (COL),6.613179496,4.940673680,1.659634286,7.738209873,5.777241402,4.836182789,3.390269477,0.477566933
2005,13,Florida Panthers (FLA),7.081032809,3.634238890,2.363721533,6.148587497,7.355270219,6.612148881,3.354961882,0.957761814
2008,30,Minnesota Wild (MIN),6.670237139,4.278684711,1.311729744,8.135899283,6.253570409,4.046162203,3.012539929,0.652224521
2008,15,Washington Capitals (WSH),6.218004876,4.073035223,1.957768928,7.623240650,7.510069106,5.722916922,4.147785575,0.693907648
2010,29,Columbus Blue Jackets (CBJ),6.504906903,5.362392680,1.578287360,12.560962454,5.367290546,4.975616219,4.452114253,0.685543558
2014,10,Toronto Maple Leafs (TOR),7.174780657,3.752076502,1.138989595,5.677255607,9.181683032,3.965504410,3.589691614,0.579945115
2011,5,Pittsburgh Penguins (PIT),6.394621228,5.081973833,1.619801017,6.391450548,8.301442059,5.637458544,5.036495542,0.547202897
2010,7,Buffalo Sabres (BUF),5.574502227,3.918654853,1.423736994,9.824893309,6.415540442,4.642796092,4.530841923,0.804454565
2015,13,Florida Panthers (FLA),6.834706520,4.064605888,1.559625735,6.204231821,7.454365672,4.799587069,3.281580224,0.753370804
2005,15,Washington Capitals (WSH),6.958550752,3.699313536,2.265510910,7.448873357,5.481281278,5.422176685,3.945159783,0.866941348
2006,28,San Jose Sharks (SJS),7.510406635,3.874202717,1.962537122,7.956952332,6.572650158,5.943503695,3.315607390,0.668351447
2015,2,NY Islanders Islanders (NYI),7.117386002,4.270711395,1.502960568,5.688762600,10.463681006,4.131205191,3.860751922,0.604040450
2003,3,NY Rangers Rangers (NYR),5.747808416,4.990149026,1.982462794,12.260240294,5.673385373,4.632099870,4.288319314,0.649175301
2014,9,Ottawa Senators (OTT),5.783597496,4.906992096,1.297127474,8.310014994,7.987490219,3.774917218,2.822106609,0.439155033
2013,21,Colorado Avalanche (COL),6.038108000,4.645008333,1.675698619,7.313396971,7.816758086,5.274607035,3.929771112,0.565106770
2013,20,Calgary Flames (CGY),6.567617775,3.892967465,1.427510692,5.803228661,8.931135549,5.662338587,2.927140439,0.543641940
2015,1,New Jersey Devils (NJD),5.679503214,5.064660143,1.742286394,5.925329576,10.239972717,4.684346379,3.468308051,0.603451429
2014,30,Minnesota Wild (MIN),7.241258791,4.930533483,1.566414437,7.084919084,7.685205826,5.025514225,3.247513789,0.597081434
2009,3,NY Rangers Rangers (NYR),4.616171773,5.527260378,1.843030421,9.080907884,8.754948475,6.210326171,3.489718850,0.777552824
2003,4,Philadelphia Flyers (PHI),5.820208088,4.083499043,1.782042557,12.315552392,9.241235131,6.613975032,3.501777642,1.257975976
2015,16,Chicago Blackhawks (CHI),5.441529364,4.479842636,1.716790151,5.668409628,10.367534676,5.368365269,3.743652760,0.603451429
2009,13,Florida Panthers (FLA),6.453303181,4.689375641,2.071290395,8.959461547,6.704021363,5.353480746,5.057715671,0.799390011
