Season,team_id,Team,Total Wins,Total Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2009,10,Toronto Maple Leafs (TOR),14,1386,617,113,28,147,522,869,403,271,109,
2015,21,Colorado Avalanche (COL),18,1041,638,106,26,128,349,876,260,220,84,
2005,20,Calgary Flames (CGY),22,1078,449,97,39,229,671,783,438,331,92,7
2016,8,Montreal Canadiens (MTL),22,1099,540,109,23,114,372,786,421,257,75,7
2006,12,Carolina Hurricanes (CAR),21,1221,565,124,38,233,539,855,330,253,88,
2014,9,Ottawa Senators (OTT),15,1057,440,94,23,127,449,1005,290,267,95,13
2015,4,Philadelphia Flyers (PHI),15,1082,534,77,17,106,476,1092,291,173,100,13
2005,29,Columbus Blue Jackets (CBJ),12,1064,407,77,26,225,686,536,251,280,71,
2014,25,Dallas Stars (DAL),16,1048,532,100,20,123,377,691,347,273,85,
2016,16,Chicago Blackhawks (CHI),23,1129,519,106,23,121,252,582,366,268,115,3
2013,2,NY Islanders Islanders (NYI),12,1172,653,98,19,126,477,959,369,319,117,
2018,29,Columbus Blue Jackets (CBJ),22,1216,528,123,16,119,271,712,275,262,95,13
2005,18,Nashville Predators (NSH),24,1038,455,114,46,245,715,463,256,229,70,6
2010,20,Calgary Flames (CGY),16,1129,511,96,25,154,495,765,332,244,108,
2018,20,Calgary Flames (CGY),23,1255,474,133,29,138,339,573,504,368,109,2
2013,26,Los Angeles Kings (LAK),25,1239,450,102,21,133,478,1314,408,162,120,10
2018,1,New Jersey Devils (NJD),15,1253,517,113,24,123,335,813,348,316,113,
2003,25,Dallas Stars (DAL),17,957,411,78,26,159,589,658,722,357,102,11
2018,7,Buffalo Sabres (BUF),21,1284,514,112,24,125,313,716,365,238,114,
2005,26,Los Angeles Kings (LAK),24,1183,502,138,42,274,754,708,412,213,102,
2014,20,Calgary Flames (CGY),20,1033,709,107,24,127,321,845,396,315,113,16
2017,53,Arizona Coyotes (ARI),9,1232,578,93,22,132,316,982,334,210,114,
2014,29,Columbus Blue Jackets (CBJ),15,946,459,82,29,121,414,1075,223,212,96,
2013,10,Toronto Maple Leafs (TOR),20,1122,641,109,29,130,568,1386,490,293,106,
2006,30,Minnesota Wild (MIN),20,1155,488,103,37,197,456,483,341,249,88,11
2008,12,Carolina Hurricanes (CAR),17,1160,557,96,26,179,390,777,254,298,92,11
2014,1,New Jersey Devils (NJD),13,979,469,80,23,112,351,703,319,208,103,
2011,52,Winnipeg Jets (WPG),18,1112,521,100,21,120,455,872,264,208,94,
2008,15,Washington Capitals (WSH),24,1202,492,123,37,157,479,782,449,340,102,4
2016,15,Washington Capitals (WSH),21,1073,423,96,19,112,297,715,390,290,80,1
2014,18,Nashville Predators (NSH),24,1180,527,102,16,120,290,676,284,217,98,6
2003,7,Buffalo Sabres (BUF),14,1004,425,80,18,150,566,530,398,184,109,
2017,9,Ottawa Senators (OTT),12,1119,589,97,20,126,331,854,370,267,60,
2014,21,Colorado Avalanche (COL),13,1034,568,88,17,117,391,890,248,335,87,
2014,14,Tampa Bay Lightning (TBL),24,1156,530,126,26,137,385,798,298,261,106,5
2013,16,Chicago Blackhawks (CHI),28,1393,530,154,34,140,369,745,307,358,110,7
2018,8,Montreal Canadiens (MTL),20,1339,555,123,18,132,352,1072,425,285,116,
2013,13,Florida Panthers (FLA),15,1190,520,92,15,138,458,912,243,267,114,
2014,6,Boston Bruins (BOS),19,1128,462,96,15,86,375,909,256,211,84,
2008,1,New Jersey Devils (NJD),21,1095,411,103,20,125,482,589,216,163,79,5
2013,5,Pittsburgh Penguins (PIT),29,1277,667,128,36,141,435,1087,301,210,107,6
2005,24,Anaheim Ducks (ANA),17,1218,282,107,34,228,718,547,250,257,94,12
2011,1,New Jersey Devils (NJD),21,1017,415,95,18,133,462,744,273,195,97,9
2003,22,Edmonton Oilers (EDM),13,1104,511,94,18,163,598,461,541,226,97,
2016,18,Nashville Predators (NSH),16,1156,467,101,25,123,335,744,309,239,85,16
2013,21,Colorado Avalanche (COL),23,1132,583,107,18,112,442,969,235,268,104,3
2009,24,Anaheim Ducks (ANA),16,1153,479,107,32,146,583,1015,321,207,99,
2010,15,Washington Capitals (WSH),22,1280,570,115,27,146,510,908,342,307,101,2
2006,24,Anaheim Ducks (ANA),28,1340,380,141,47,211,705,734,348,289,106,4
2017,6,Boston Bruins (BOS),21,1175,518,112,26,123,401,869,329,363,101,4
2003,27,Phoenix Coyotes (PHX),11,956,353,88,22,153,648,647,273,167,87,
2013,6,Boston Bruins (BOS),26,1198,531,113,23,106,436,952,289,252,88,1
2018,18,Nashville Predators (NSH),23,1307,511,119,21,137,334,706,408,326,101,8
2010,8,Montreal Canadiens (MTL),21,1245,590,97,25,135,478,838,314,222,94,14
2017,14,Tampa Bay Lightning (TBL),28,1240,500,142,37,144,342,720,314,286,106,3
2018,16,Chicago Blackhawks (CHI),15,1293,528,119,19,123,340,638,344,304,119,
2008,13,Florida Panthers (FLA),16,1046,480,91,20,143,460,707,258,208,77,
2014,22,Edmonton Oilers (EDM),8,1045,522,78,13,111,332,870,404,251,99,
2016,7,Buffalo Sabres (BUF),13,1062,470,77,25,116,314,867,248,190,99,
2018,26,Los Angeles Kings (LAK),15,1130,560,88,16,108,286,881,444,168,93,
2005,28,San Jose Sharks (SJS),16,1116,400,113,37,225,478,597,383,225,98,11
2008,5,Pittsburgh Penguins (PIT),19,1005,600,115,30,166,534,834,283,204,93,8
2008,26,Los Angeles Kings (LAK),15,1095,449,94,31,167,521,950,436,213,106,
2005,9,Ottawa Senators (OTT),27,1226,473,156,54,230,727,772,333,297,57,2
2013,29,Columbus Blue Jackets (CBJ),17,1075,518,104,22,129,476,1187,211,226,101,14
2003,14,Tampa Bay Lightning (TBL),15,1015,434,79,22,165,531,457,334,249,92,2
